Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
B,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
C,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
D,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
E,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
F,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
G,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
H,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
I,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
J,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
K,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
L,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
M,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
N,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
O,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
P,0.59755765658,0.59755765658,,,,,,,,,,,,,,,,,,,,,0.59755765658,0.59755765658
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
5,1,5039,14.01,18.02,18.02,55.5,55.5,18.41,18.31,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/26/2023 7:11:51 PM,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
5,Jez US LUM 384 (cps),0,512,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,851680,875240,864280,671000,750280,668920,849000,788480,801160,856040,832960,796440,737400,942920,974880,898200,641440,688960,824000,801440,566080,642240,3483760,3360080
B,499760,776480,703280,854440,911480,963240,1021000,1019000,999600,885400,755680,915680,882400,1024040,566120,970160,782680,850920,821560,874080,777960,727200,3851920,3602480
C,339600,915120,913760,810640,801200,1061800,1069160,969800,138080,842760,999040,902480,426720,1095240,1144840,907080,922920,833880,1037560,861520,807440,906120,4739680,3845360
D,623720,868040,965840,1032800,635880,1128120,1120360,1035240,1185400,933360,1026880,1053200,826920,842920,837040,643080,867080,828240,741840,934960,968440,933800,4213920,3947040
E,799680,992360,944200,1044600,872200,1144760,142280,1020480,311080,132560,432040,832280,314800,960360,52560,754360,831000,898520,702280,1005600,117120,892840,4193520,3880440
F,815120,860400,997400,987120,1254320,1081080,467360,1095240,1006640,972880,949600,1010720,891920,1075440,675480,952840,885240,928400,983560,1060320,881640,762440,4175000,3951240
G,870680,869560,1096200,956560,1109160,1105640,1068160,1029440,1151040,1150560,1170640,1108880,1013400,938640,907480,919040,994280,989320,1087080,1188400,956760,931240,4451640,3935200
H,814080,863840,970920,1003760,998440,957720,1018640,1031760,1073800,914760,1010480,920280,971680,888040,1149200,958800,1106360,1006800,1059880,1004600,979480,907160,4216720,3818000
I,911440,926120,939040,1056000,964520,1071600,895320,1082360,1179720,1044000,1017720,1027760,937040,868360,956720,1106440,727440,911840,882520,905120,1072440,914000,4330960,3980640
J,820720,901200,635600,366960,861760,1033320,951520,1089080,1204000,357360,1001040,990000,885960,1001800,110360,75720,853080,982720,1024200,1185520,1115680,953200,4232320,3885320
K,772480,1061040,968400,713200,1000040,952560,1015840,1028160,803760,981880,1015320,1042160,927400,1086080,1092480,1022000,1101320,997720,978080,957400,913040,1051440,4435480,4094000
L,781840,978080,908000,1053000,1080040,1124640,1022640,1083760,1150040,1099480,905560,1019560,898360,1102600,1077960,966120,1045800,951520,980440,975280,939520,977960,4080560,3793440
M,677760,941720,938560,1072360,974480,1014480,1063600,1108520,926080,1008040,910360,1009160,1056800,1038480,1154320,1127680,895320,1051320,1122880,921080,859880,1004440,4113200,3820080
N,755680,932680,632760,976280,990480,1024960,1016440,953480,1069240,978760,937880,948600,579840,889000,989680,1001240,1060000,495840,967760,918640,854480,843000,3906480,3784640
O,746880,856680,873720,942680,787120,883880,834520,908760,1011680,1079800,988560,1065400,852760,672680,791360,971320,1075560,1047280,1026000,823160,152200,1048880,4090040,3820680
P,700560,703440,634400,650640,763520,786760,872960,781040,774560,885120,769480,863720,749520,756480,752320,1015760,904200,795280,939800,872560,950720,847040,4156240,3729120
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
6,1,5040,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/26/2023 7:13:27 PM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
6,Jez US LUM 384 (cps),0,520,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
B,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
C,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
D,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
E,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
F,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
G,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
H,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
I,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
J,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
K,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
L,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
M,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
N,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
O,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
P,0.61745154303,0.61745154303,,,,,,,,,,,,,,,,,,,,,0.61745154303,0.61745154303
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
6,1,5040,14.01,18,17.92,55.7,55.5,18.29,18.41,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/26/2023 7:13:27 PM,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
6,Jez US LUM 384 (cps),0,520,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,707560,712160,600960,717920,856440,853080,868680,905120,807440,837960,819240,900160,721080,866680,191520,587960,746360,851920,926200,794720,678640,774800,2923760,2625680
B,792680,757440,728440,831200,859040,1009480,946200,976600,797160,920760,927680,988840,834160,973920,1014920,1034960,914120,794000,941720,517040,717240,1016160,3269600,2979160
C,665920,833600,788120,965200,736280,962200,924400,1012360,910000,55840,1004160,954320,768280,196240,907400,880520,963160,150200,928560,791000,346480,968720,3405920,3156040
D,739840,766600,984520,1027120,1034120,1103200,812480,1016960,1005120,1043960,849200,1134880,923680,921440,1036600,984480,957760,504360,1025720,722960,932000,838600,3474080,3306000
E,736840,850280,920240,881200,1097760,933160,109920,1021840,870160,1013800,936200,1060520,196600,208720,197640,242920,919880,1049680,776200,817800,1001040,972480,3687160,3318800
F,778920,851280,608920,877560,929760,895560,963680,823680,873800,972200,1063200,130040,920800,1022800,1044720,1073360,1013200,979960,1080560,981160,837240,966680,3475360,3280120
G,788600,888760,924160,1078280,860280,1011440,1024360,1053800,1127640,946680,1147680,1099000,1013200,1145080,917280,1095440,1064840,965560,1108080,1036520,854400,917840,3483320,3221480
H,671280,894880,979280,892120,1109560,1013760,998120,1109960,968640,872200,998760,1117440,1057880,1072880,1033640,1067840,956640,1059520,903440,1124880,878200,1019680,4160240,3247800
I,795040,808640,1018480,930520,949840,953840,981840,924760,920840,1112560,1011680,1058280,1122920,1055240,1082280,1075160,1027440,1086280,1001240,979400,1007400,908160,3501400,3532720
J,746400,793760,1001640,964480,938240,1127000,990840,1126640,920760,998280,863000,861800,821360,1066920,1155360,917320,861000,1134040,1087360,829480,699760,923040,3588600,3253280
K,724880,820520,814920,947120,915520,620200,1049480,1103200,1007160,1045480,1060960,940480,937240,931200,1069880,1069800,1080600,886760,1128600,886880,169280,1027040,3519640,3189560
L,720160,834200,946320,828720,855640,913400,889120,813200,931280,932080,814960,1081440,964000,921120,883760,1016120,962800,982720,948600,910600,933320,757240,3498800,3206960
M,713880,795000,719080,822000,1050720,879440,954200,988720,830800,1063000,947280,1020160,785920,995440,1079800,999520,949440,862480,364400,976120,1018920,886720,3453800,3727080
N,716840,882400,820080,924960,737400,984320,838800,139320,1018160,1050960,919200,952000,884560,1115200,941760,1076400,1020120,965560,771680,987800,999200,939800,3379200,3134640
O,820520,791920,740120,902480,859240,839000,943320,933400,966320,1019560,942160,1055280,878480,939160,942960,815600,912680,1031480,859920,1078240,880520,756480,3362240,3252840
P,786680,744040,742320,704040,662640,831440,800560,850680,180000,618440,563200,734360,707240,855120,732120,809400,909680,807560,855880,745960,811320,1038160,3366840,3150680
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
7,1,5041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/26/2023 7:15:03 PM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
7,Jez US LUM 384 (cps),0,532,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
B,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
C,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
D,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
E,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
F,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
G,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
H,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
I,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
J,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
K,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
L,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
M,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
N,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
O,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
P,0.80124624388,0.80124624388,,,,,,,,,,,,,,,,,,,,,0.80124624388,0.80124624388
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
7,1,5041,14.01,17.9,17.92,55.7,55.7,18.39,18.41,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/26/2023 7:15:03 PM,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
7,Jez US LUM 384 (cps),0,532,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,732400,719320,883400,764120,677960,802240,787160,836040,666840,782160,650440,818280,679720,739040,788840,605720,829480,778400,687640,686320,739520,840920,3369480,3222840
B,712960,821600,736200,906920,584720,838880,851040,904960,837840,788440,927560,984200,744360,732800,1086680,995840,920920,489320,916160,911280,780560,776080,3443840,3334920
C,756040,829240,867320,884280,718440,791720,903920,946640,842880,882480,650440,943960,235520,750680,1026880,945880,824360,984880,952320,972120,950520,867520,3664360,3510160
D,722840,821480,942400,896720,749800,932080,1048640,972480,820200,883040,930360,974680,800080,947600,211520,1024480,887840,871000,945520,941080,624440,854200,3542920,3465000
E,799960,855360,801120,942720,794960,898240,976160,1063200,1012480,864600,813960,869080,916200,783000,1003080,1009480,781560,855200,966000,822600,945840,952680,3524240,3504960
F,718320,785120,856880,950920,806160,857080,1109880,1004160,950080,993200,940560,941360,750360,770480,898800,907720,885320,888320,975520,929360,841360,894800,3528320,3458800
G,788840,773240,969920,791360,926600,885760,1212760,666200,917800,1054800,987920,944280,856560,753600,1029560,79840,1179320,1038920,1086280,1056760,961880,899560,3680200,3500960
H,761480,878040,950080,951240,932080,998120,1096600,1046000,865520,1027640,970200,913880,972760,1050840,978200,973920,145800,1042360,1004280,986720,829080,909480,3472680,3709040
I,749560,873760,814320,909120,896680,979680,872840,959520,995800,825320,878720,969280,647840,1063240,854720,951080,824720,856720,1034600,886440,711120,825840,3505480,3480320
J,801560,738360,174360,214320,880480,749160,829920,1006800,910600,1033080,980800,1015480,999440,833440,1010240,941280,958880,1056040,835280,979560,858640,896800,3439440,3419320
K,709120,832200,915840,999640,858800,881160,989040,1269360,981360,959680,923280,133960,934600,917800,922240,1024040,855240,639680,964440,1039040,840480,809200,3381080,3287840
L,756680,823840,1013320,985720,119880,496880,978480,1126440,974160,1034680,845440,1030680,779520,956280,1108720,971960,926400,855040,197280,614600,1004480,937120,3390640,3286120
M,705720,870200,872600,890680,972360,1046520,992320,999720,936280,875240,1128760,1035280,907920,81800,1574000,1079400,908240,1540520,743080,1092360,1015160,872520,3407600,3402160
N,732400,845720,732080,1125000,948800,924200,1069680,905120,318680,898160,730800,1085680,79240,332840,1225560,1493800,1179480,984800,1017080,1051840,977040,1050280,3337440,3332600
O,898720,690560,967040,921960,814720,881600,857760,1049680,850720,798360,876040,1083880,878280,891560,1121160,1018680,1032640,1062000,1176280,1041120,1146240,1048080,3378040,3426960
P,783480,630480,818200,805560,858160,762320,774920,1023280,162480,156040,947640,370480,858800,935520,1109920,1083320,960240,1094640,1248960,1113280,1159600,1036440,3431440,3297320
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,,,,,,,,,,,,,
Assay ID: ,,,,735,,,,,,,,,,,,,,,,,,,,
Assay Started: ,,,,5/26/2023 7:03:49 PM,,,,,,,,,,,,,,,,,,,,
Assay Finished: ,,,,5/26/2023 7:15:22 PM,,,,,,,,,,,,,,,,,,,,
Assay Exported: ,,,,5/26/2023 7:17:35 PM,,,,,,,,,,,,,,,,,,,,
Protocol ID: ,,,,100135,,,,,,,,,,,,,,,,,,,,
Protocol Name: ,,,,Klein lab BTG,,,,,,,,,,,,,,,,,,,,
Serial#: ,,,,1051054,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Protocol information,,,,,,,,,,,,,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,,,,,,,,,,,,,
Protocol name,,,,Klein lab BTG,,,,,,,,,,,,,,,,,,,,
Number of assay repeats,,,,1,,,,,,,,,,,,,,,,,,,,
Start assay repeat each,,,,N/A,,,,,,,,,,,,,,,,,,,,
Number of plate repeats,,,,1,,,,,,,,,,,,,,,,,,,,
Start plate repeat each,,,,N/A,,,,,,,,,,,,,,,,,,,,
Is label meas. height used,,,,Yes,,,,,,,,,,,,,,,,,,,,
Height of measurement,,,,Defined in label,,,,,,,,,,,,,,,,,,,,
Is gripper height used,,,,No,,,,,,,,,,,,,,,,,,,,
Mode of measurement,,,,By Rows  bi-directional,,,,,,,,,,,,,,,,,,,,
Rotated plate,,,,No,,,,,,,,,,,,,,,,,,,,
Soft move,,,,No,,,,,,,,,,,,,,,,,,,,
Protocol notes,,,, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Plate type:,,,,,,,,,,,,,,,,,,,,,,,,
Name of the plate type,,,,384 Nunc Maxisorp 460372,,,,,,,,,,,,,,,,,,,,
Number of rows,,,,16,,,,,,,,,,,,,,,,,,,,
Number of columns,,,,24,,,,,,,,,,,,,,,,,,,,
Number of the wells in the plate,,,,384,,,,,,,,,,,,,,,,,,,,
Height of the plate,,,,14.4 mm,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Coordinates of corners:,,,,,,,,,,,,,,,,,,,,,,,,
384 Nunc Maxisorp 460372 + Jez US LUM 384 (cps),,,,,,,,,,,,,,,,,,,,,,,,
11.88 mm x------------------------------------------------------ x 115.3 mm,,,,,,,,,,,,,,,,,,,,,,,,
9.09 mm                                                            9.11 mm,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
11.83 mm x------------------------------------------------------ x 115.43 mm,,,,,,,,,,,,,,,,,,,,,,,,
76.51 mm                                                           76.32 mm,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Platemap:,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,1,,,,,,,,,,,,,,,,,,,,
Group,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
B,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
C,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
D,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
E,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
F,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
G,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
H,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
I,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
J,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
K,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
L,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
M,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
N,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
O,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
P,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH
,,,,,,,,,,,,,,,,,,,,,,,,
 ZL - Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
 - - Undefined,,,,,,,,,,,,,,,,,,,,,,,,
 ZH - Z_High,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Calculations:,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,1,,,,,,,,,,,,,,,,,,,,
 Formula index,,,,Calc 1,,,,,,,,,,,,,,,,,,,,
 Formula name,,,,Z',,,,,,,,,,,,,,,,,,,,
 Formula,,,,1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Auto export parameters:,,,,,,,,,,,,,,,,,,,,,,,,
Export format,,,,Plate2,,,,,,,,,,,,,,,,,,,,
Include basic assay information,,,,Yes,,,,,,,,,,,,,,,,,,,,
Place assay information at,,,,End of file,,,,,,,,,,,,,,,,,,,,
Include basic plate information,,,,Yes,,,,,,,,,,,,,,,,,,,,
Place plate information at,,,,Beginning of plate,,,,,,,,,,,,,,,,,,,,
Include protocol information,,,,Yes,,,,,,,,,,,,,,,,,,,,
Protocol info level,,,,Large,,,,,,,,,,,,,,,,,,,,
Include error and warning information,,,,Yes,,,,,,,,,,,,,,,,,,,,
Include background information,,,,Yes,,,,,,,,,,,,,,,,,,,,
Add plate number to the file name,,,,Yes,,,,,,,,,,,,,,,,,,,,
Each plate to separate file,,,,No,,,,,,,,,,,,,,,,,,,,
Field separator to use,,,,System,,,,,,,,,,,,,,,,,,,,
File name format,,,,<DefaultDataFolder>\<Date>\<ProtocolName>_<AssayID>.csv,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Operations:,,,,,,,,,,,,,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,,,,,,,,,,,,,
  Group 1,,,,,,,,,,,,,,,,,,,,,,,,
    Measurement,,,,,,,,,,,,,,,,,,,,,,,,
      Label,,,,Jez US LUM 384 (cps)(1),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Labels:,,,,,,,,,,,,,,,,,,,,,,,,
Jez US LUM 384 (cps),,,,7000006,,,,,,,,,,,,,,,,,,,,
Measurement height,,,,0 mm,,,,,,,,,,,,,,,,,,,,
