Plate information ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
G,693840,662480,715360,598560,85160,654040,697080,657800,517320,46240,544320,53680,686960,303880,605880,627800,628440,666360,621960,583440,587400,546560,815600,812800,,,,,,
H,704520,627440,653360,656840,681160,694560,699200,29040,692000,406560,636920,29160,202880,663600,654440,597200,188960,623720,46120,43880,575440,612440,782160,792240,,,,,,
I,725000,598320,138560,698880,622480,579640,674560,630440,581440,667280,620680,287840,613720,647640,635520,601560,665000,610680,548520,889640,550960,602520,736080,799840,,,,,,
J,731200,646960,642920,654640,689840,606640,502400,635960,681400,643480,656880,38600,630160,612920,632640,592280,637080,585440,524480,594560,552680,575280,732920,767480,,,,,,
K,730560,538080,665520,646440,657920,644960,641520,631320,674280,1078120,667200,624360,43720,551040,569080,568200,615400,602000,595320,616800,578000,547400,747200,774320,,,,,,
L,708320,548000,667560,545160,616840,648240,648720,634520,660720,449840,630880,585800,635960,588680,579000,588880,624640,597440,591400,534520,557120,572400,736560,769400,,,,,,
M,669320,568200,620560,626640,654640,650320,48400,637080,624040,590080,618960,570480,628560,539720,39640,39320,53280,598200,70480,597000,43880,574000,702400,747800,,,,,,
N,677240,583200,622720,640680,636920,651160,614560,156160,613480,80320,536000,32720,586640,496880,567440,487040,574400,581680,559320,43160,548080,447240,724600,773920,,,,,,
O,672080,601160,599920,634800,130720,564680,581520,601320,607880,570600,559720,41880,454000,504960,464400,526520,554360,427200,532720,538920,528800,602880,700040,768720,,,,,,
P,674960,587200,658680,56520,615040,616800,637200,632120,616920,513720,575640,530320,566680,511720,493880,317600,454800,532200,561400,512520,541880,550000,696080,766080,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,,,
5,1,5039,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/7/23 17:37,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
5,Jez US LUM 384 (cps),0,352,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
B,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
C,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
D,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
E,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
F,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
G,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
H,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
I,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
J,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
K,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
L,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
M,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
N,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
O,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
P,-6.799850278,-6.799850278,,,,,,,,,,,,,,,,,,,,,-6.799850278,-6.799850278,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,,,
5,1,5039,14.01,17.9,17.82,34.3,34.3,18.29,18.31,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/7/23 17:37,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
5,Jez US LUM 384 (cps),0,352,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,704160,573800,489320,568360,618000,614160,515160,619080,657280,557120,607480,586120,612400,620080,458000,588880,60560,416440,650560,606040,523520,50920,791560,708720,,,,,,
B,673240,622640,583200,503080,683200,587080,570240,636160,602840,648880,546760,593600,586160,546240,68400,752880,584960,632320,600080,637120,599960,585640,740640,762440,,,,,,
C,698920,655800,580840,595600,621200,684280,568760,53960,249320,594160,501560,611480,53280,48000,601840,593640,664840,601720,623960,578920,526720,606600,739240,750440,,,,,,
D,678680,593480,605120,655800,742880,639360,638440,632360,548880,647400,597400,622120,660760,622160,614600,473120,639560,412480,94320,53920,555280,613520,725600,747160,,,,,,
E,637800,595800,611600,632400,605200,605920,46200,672640,556880,606320,612560,613840,38200,653400,65840,627720,667080,595240,575640,517760,544800,601040,775720,762600,,,,,,
F,680240,582040,583440,585200,594480,563520,556920,608360,426600,588160,381160,675240,661360,614320,48880,96840,614240,631520,583400,590240,575000,603440,755040,759680,,,,,,
G,696640,601200,621080,517400,609640,679720,44560,623160,631360,534520,576440,630960,669520,585320,601160,601600,626800,608400,460080,650480,689680,596760,686120,763560,,,,,,
H,601720,621320,587160,626160,605840,702840,646960,625840,657960,613640,602160,619600,655400,572880,543400,575760,590400,604520,546360,580800,674280,576440,756960,779800,,,,,,
I,607520,605240,547000,666800,581480,617360,524680,597000,497800,551320,58360,642760,625560,519440,546680,603440,442640,536480,34760,551440,493520,544840,624840,563840,,,,,,
J,633080,654440,515960,565440,606800,517080,606280,569640,624440,48200,530400,562600,616960,587440,92280,45680,580440,582520,588080,498040,55880,515680,646520,728320,,,,,,
K,684080,618080,521280,318400,38200,654960,619400,603480,104640,613000,579360,617640,580720,570040,556640,604720,576280,563280,556600,551040,629640,520360,617720,717800,,,,,,
L,672360,633040,575360,607680,663160,415400,580680,612240,625560,586520,631840,569280,582800,538040,555800,615800,556360,576680,544040,534440,640040,621600,608360,649440,,,,,,
M,694440,643600,66000,551600,590280,472360,603880,574400,602680,519400,372960,586720,551800,51720,534680,576000,545080,533000,534040,613400,540200,504920,634320,622480,,,,,,
N,646200,650040,403320,603240,658800,593360,540280,631480,521200,578040,695480,602720,295000,506000,558640,556680,539800,494960,501920,502880,472000,501160,607760,624920,,,,,,
O,626600,587120,556480,572360,615720,570640,546720,611440,668040,561560,601960,559800,565760,40440,494280,529560,530840,537080,483720,499640,38280,481960,582120,563280,,,,,,
P,645440,557800,565040,560640,562360,598440,630840,571760,588520,529560,570360,549320,541720,570080,574920,521280,540880,517760,512560,519520,527200,484440,517440,546320,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,,,
6,1,5040,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/7/23 17:38,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
6,Jez US LUM 384 (cps),0,352,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
B,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
C,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
D,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
E,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
F,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
G,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
H,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
I,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
J,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
K,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
L,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
M,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
N,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
O,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
P,-1.687563928,-1.687563928,,,,,,,,,,,,,,,,,,,,,-1.687563928,-1.687563928,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,,,
6,1,5040,14.01,17.82,17.92,34.1,34.8,18.31,18.31,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/7/23 17:38,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
6,Jez US LUM 384 (cps),0,352,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,633320,655200,181240,311200,673000,633400,614120,607480,664760,606200,627240,581360,646560,610240,33200,32320,684720,620520,607240,579520,647880,562400,756040,752560,,,,,,
B,651920,614080,553760,584560,647040,633840,410040,43120,588160,652600,567520,631760,649320,640840,569760,622760,652240,616520,615920,368760,633760,597440,716680,688760,,,,,,
C,675800,635320,560440,603720,633160,85160,642520,573760,637480,56240,346960,171120,644440,40280,628160,584840,632920,50120,556920,580720,443000,367640,748800,704600,,,,,,
D,638800,609880,472960,574200,661600,594280,639680,577040,555760,602240,651960,624280,620120,552240,615760,591160,681600,592360,601800,603160,612560,588360,742640,725800,,,,,,
E,647400,642760,87680,647880,669400,647600,39720,605240,679240,272120,619800,612360,583520,618440,602280,590960,581000,590600,612880,592800,512040,41960,724800,723400,,,,,,
F,675080,594160,503760,630920,677880,612360,625600,599280,668520,480040,641840,498200,630440,574760,630640,590680,658040,628040,629800,572280,677240,564280,724480,736440,,,,,,
G,612440,614720,584920,637240,662360,645440,615320,600240,40960,640920,534760,594960,602000,41520,584880,192480,657720,613200,622760,596240,508080,563000,720480,697520,,,,,,
H,604000,651360,640800,658200,641920,546640,644200,607720,681800,636720,638640,624840,625240,581040,602400,438200,645360,47280,216280,413760,614680,579760,751760,681080,,,,,,
I,670440,633280,500640,661360,646920,191840,621240,615760,654120,45320,48240,46200,142680,379120,547640,498000,468960,614520,540320,52240,639040,577240,702640,710160,,,,,,
J,688160,635240,654520,636280,636840,507520,663680,58080,674480,658680,647040,202080,45600,50240,435360,590480,234920,635840,502840,563360,33560,59640,689320,686640,,,,,,
K,614560,649480,530560,45640,549760,102920,616440,604320,695840,588520,581640,41320,621040,670360,579200,599560,622800,584920,567480,542560,56640,81560,685600,703840,,,,,,
L,682640,674800,710720,593200,641680,664200,628520,652800,464920,636760,610040,630320,574640,655000,614040,614000,686960,585640,619680,557800,152840,94840,700120,668200,,,,,,
M,652520,685480,658600,631720,673400,566080,651680,592480,43360,47160,46520,44880,62000,230520,41600,572960,598840,596720,38040,605440,550560,554960,692200,657080,,,,,,
N,660160,602680,640240,657840,659000,657760,627040,54160,59600,642720,607440,474880,90280,446360,588120,586440,46480,630480,424240,605400,562640,560280,653600,693040,,,,,,
O,620400,628880,41000,661480,627280,584880,695320,626800,629200,645200,40040,587000,609200,629640,44800,409040,549120,590880,443000,598920,565160,437880,649640,698320,,,,,,
P,647920,675800,639040,630240,497520,634480,679040,617560,52600,608480,670800,593400,639360,615600,598480,585560,533680,603880,42520,568320,520320,585000,681000,693600,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,,,
7,1,5041,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/7/23 17:40,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
7,Jez US LUM 384 (cps),0,380,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
B,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
C,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
D,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
E,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
F,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
G,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
H,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
I,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
J,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
K,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
L,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
M,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
N,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
O,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
P,-2.701531832,-2.701531832,,,,,,,,,,,,,,,,,,,,,-2.701531832,-2.701531832,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,,,
7,1,5041,14.01,17.92,17.92,34.8,34.8,18.31,18.21,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/7/23 17:40,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
7,Jez US LUM 384 (cps),0,380,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,625840,600760,408480,624800,421440,598880,570760,612840,687680,612960,456280,596720,634160,581640,628480,627120,600120,583360,510960,598400,610160,606880,781000,763320,,,,,I22,Deferasirox
B,641360,611800,569760,38000,45000,586880,617840,596560,610760,604480,564720,564560,652080,555600,592680,591880,435040,365440,43600,579440,473080,612320,788400,773840,,,,,,
C,693800,617280,552280,436360,545720,615200,526960,599920,557640,613280,392960,603920,654280,615680,38840,583560,464840,657800,564960,593920,603600,610240,780400,752760,,,,,,
D,633720,617520,566760,557880,328600,607360,575720,566400,597080,603680,555000,598320,588680,596880,440080,571200,611720,600600,521400,605120,608320,615080,779400,757680,,,,,,
E,609240,620160,552040,580040,514560,619200,607760,47760,595960,588040,617240,679080,403440,593920,41400,477080,151680,612640,590920,527040,635120,637200,809880,780720,,,,,,
F,687960,610240,542120,587160,626040,606240,552560,590480,39720,469080,644360,609640,566440,589520,583200,600320,439320,603360,576160,585040,542480,636080,754880,721360,,,,,,
G,679120,620800,567280,50360,633800,622560,611920,614960,615760,623080,490720,554760,742640,568560,41400,516600,44880,576400,594600,592640,610200,593600,698800,792680,,,,,,
H,661440,592200,570480,598880,622240,581400,622160,609240,613800,638520,489600,621960,632240,576760,308920,600360,363240,592360,587680,577280,595160,596800,719800,861920,,,,,,
I,687160,604840,549240,599600,623400,555480,449160,566640,585880,606720,581880,603720,61320,575560,389480,581280,587560,279680,578480,561040,592440,1102360,745960,802920,,,,,,
J,604960,580680,441560,637920,512120,610240,356400,593600,40520,614240,618880,596800,614200,620040,587520,592360,577800,578560,560080,564840,572760,576200,706920,701200,,,,,,
K,671480,595960,577240,582640,540440,572080,580120,565640,592880,418480,39240,194960,654000,557120,608000,601640,523760,93920,572200,45760,571480,662960,704400,720600,,,,,,
L,577440,581400,588320,578000,617600,606320,55240,513560,585600,582640,531880,634640,482440,578280,556120,589800,35520,548720,483880,547600,489880,570280,648240,758960,,,,,,
M,558080,567880,560040,530400,531280,558720,35760,263920,583680,582840,547160,529040,556000,415200,538880,544600,350480,558520,424760,515920,544360,346880,621160,678120,,,,,,
N,649520,608240,510240,568600,526880,588080,540720,582280,369280,573280,386680,553040,56720,539000,516560,547360,519760,528960,527160,521360,523440,532080,635240,632960,,,,,,
O,682880,618680,601040,608280,506960,605960,587760,546680,571960,557520,561480,532680,519240,531640,492560,501840,545240,43240,501280,489760,459960,523640,575120,586120,,,,,,
P,671320,651320,617840,585920,480080,591120,557320,580800,423320,566200,537080,528880,551600,533960,525600,527160,37400,539200,495240,509800,513200,527000,570040,591840,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay ID: ,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay Started: ,,,,3/7/23 17:29,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay Finished: ,,,,3/7/23 17:40,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay Exported: ,,,,3/8/23 10:32,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol ID: ,,,,100135,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol Name: ,,,,Klein lab BTG,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial#: ,,,,1051054,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol name,,,,Klein lab BTG,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of assay repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Start assay repeat each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of plate repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Start plate repeat each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is label meas. height used,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Height of measurement,,,,Defined in label,,,,,,,,,,,,,,,,,,,,,,,,,,
Is gripper height used,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode of measurement,,,,By Rows  bi-directional,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotated plate,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Soft move,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol notes,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate type:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the plate type,,,,384 Nunc Maxisorp 460372,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of rows,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of columns,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of the wells in the plate,,,,384,,,,,,,,,,,,,,,,,,,,,,,,,,
Height of the plate,,,,14.4 mm,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coordinates of corners:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384 Nunc Maxisorp 460372 + Jez US LUM 384 (cps),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.88 mm x------------------------------------------------------ x 115.3 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.09 mm                                                            9.11 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.83 mm x------------------------------------------------------ x 115.43 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.51 mm                                                           76.32 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platemap:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Group,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,,,
B,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,,,
C,ZL,ZL,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,ZH,ZH,,,,,,
